INFO  - 2014-09-03 14:43:32.555; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-09-03 14:43:32.560; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-09-03 14:43:32.565; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-09-03 14:43:32.567; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/conf/elevate.xml
INFO  - 2014-09-03 14:43:32.592; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-09-03 14:43:32.592; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3bd76592 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-03 14:43:32.593; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-09-03 14:43:32.596; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/thomas/workspace/sources/data-tourism-37/thomas/solr
INFO  - 2014-09-03 14:43:32.597; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-09-03 14:43:32.651; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=56 
INFO  - 2014-09-03 14:43:32.652; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-09-03 14:43:32.652; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-09-03 14:43:32.652; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-09-03 14:43:32.653; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3bd76592 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-03 14:43:32.654; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-09-03 14:44:54.745; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1409748294732&wt=json} status=0 QTime=2 
INFO  - 2014-09-03 14:44:54.865; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1409748294781&wt=json} status=0 QTime=72 
INFO  - 2014-09-03 14:44:59.132; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-09-03 14:44:59.133; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr-webapp/webapp/},/home/thomas/workspace/sources/data-tourism-37/thomas/solr/webapps/solr.war
INFO  - 2014-09-03 14:45:00.160; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=2131671326
INFO  - 2014-09-03 14:45:00.161; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@329d2384
INFO  - 2014-09-03 14:45:00.163; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2014-09-03 14:45:00.164; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2014-09-03 14:45:00.164; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2014-09-03 14:45:00.165; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2014-09-03 14:45:00.166; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2014-09-03 14:45:00.167; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2014-09-03 14:45:00.168; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/data/index [CachedDir<<refCount=0;path=/home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/data/index;done=false>>]
INFO  - 2014-09-03 14:45:00.168; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/data/index
INFO  - 2014-09-03 14:45:00.168; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/data [CachedDir<<refCount=0;path=/home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/data;done=false>>]
INFO  - 2014-09-03 14:45:00.168; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/data
